BRAND,MIN PRICE,MAX PRICE,MIN BIDS,MAX TIME
alain silberstein,250,8000,1,
alpina,150,5000,1,
anonimo,250,3500,0,
arnold & son,1500,11000,0,
anonimo militare,150,3500,2,
audemars piguet,1500,11000,1,
autodromo,250,5500,0,
ball,250,3000,1,
baume & mercier,250,3000,3,
bell & ross,250,4500,2,
blancpain,1500,6500,1,
bovet,1500,11000,0,
breguet,1500,14000,0,
breitling,500,11000,1,
bremont,500,11000,2,
bucherer,500,11000,1,
bulgari,500,11000,3,
carlo ferrara,500,11000,0,
cartier,500,11000,0,
chopard,500,11000,1,
christopher ward,500,4000,3,
chronoswiss,250,5500,3,
clerc,250,5000,2,
concord,150,5000,1,
corum,250,5500,1,
dietrich,500,3500,1,
dubey schaldenbrand,500,5000,1,
eberhard,150,5000,2,
eterna,150,5000,2,
f.p. journe,3500,11000,2,
faberge,500,11000,1,
farer,150,11000,1,
franck muller,500,11000,1,
gallet,500,11000,0,
gerald genta,500,6500,1,
girard perregaux,250,11000,1,
glashutte original,1500,11000,1,
glycine,150,6500,1,
graham,500,2500,3,
grand seiko,500,6500,1,
habring,500,11000,0,
hamilton,150,750,3,
hanhart,150,3000,2,
harry winston,500,5500,1,
hautlence,500,11000,0,
hermes,750,11000,3,
heuer,500,11000,1,
hublot,750,11000,3,
ikepod,500,11000,1,
iwc,150,11000,1,
jaeger lecoultre,150,14000,1,
jaquet droz,500,11000,1,
jean d'eve,250,11000,0,
jeanrichard,500,8000,1,
jlc,500,14000,1,
junghans,500,3000,3,
kobold,500,4500,3,
landeron,500,8000,1,
lange,2500,11000,1,
laurent ferrier,2500,11000,1,
le gant,500,6500,1,
lemania,500,6500,1,
longines,500,5000,1,
lord elgin,150,11000,1,
louis erard,150,5000,2,
louis moinet,150,11000,1,
maurice lacroix,150,4500,3,
meistersinger,150,4500,2,
mido,150,5500,1,
minerva,500,6000,1,
ming,500,6500,1,
montblanc,500,7000,1,
moser,500,11000,1,
nivada,500,6500,1,
nomos,500,11000,1,
nord zeitmaschine,1500,11000,1,
omega,150,6500,2,
ophion,500,6500,0,
oris,150,4500,3,
panerai,500,4500,3,
parmigiani,500,11000,1,
patek,500,11000,1,
perrelet,500,5000,3,
piaget,500,11000,1,
porsche design,500,11000,1,
rado,150,5000,1,
ressence,1500,11000,1,
rgm,500,11000,1,
roger dubuis,500,4000,1,
rolex,1500,11000,5,
sevenfriday,150,1500,1,
sinn,500,7500,1,
smiths,500,2000,1,
stowa,150,1500,1,
swatch,75,2500,3,
tag heuer,500,2500,1,
tiffany,500,4000,1,
tissot,500,3500,1,
tudor,500,5500,3,
ulysse nardin,500,8000,1,
universal geneve,150,8000,1,
urban jurgensen,1500,11000,1,
vacheron constantin,750,11000,1,
vallet,500,8000,1,
van cleef,1500,8000,1,
vulcain,500,3500,1,
wittnauer,500,3000,1,
zenith,250,11000,1,
zodiac,500,4500,0,
