BRAND,MIN PRICE,MAX PRICE,MIN BIDS,MAX TIME
zenith,250,11000,1,
sinn,500,7500,1,
jaeger lecoultre,150,14000,1,
breguet,1500,14000,0,
girard perregaux,250,11000,1,
chopard,500,11000,1,
universal geneve,150,8000,1,
iwc,150,11000,1,
vacheron constantin,750,11000,1,
omega,150,6500,2,
nomos,500,11000,1,
bell & ross,250,4500,2,
breitling,500,11000,1,
cartier,500,11000,0,
tudor,500,5500,3,
grand seiko,500,6500,1,
longines,500,5000,1,
parmigiani,500,11000,1,
piaget,500,11000,1,
porsche design,500,11000,1,
